seq	headword	page	source_file	source_seq
0001	哎哟	1	0001-0250_index.tsv	0001
0002	挨	1	0001-0250_index.tsv	0002
0003	癌症	1	0001-0250_index.tsv	0003
0004	爱不释手	1	0001-0250_index.tsv	0004
0005	爱戴	2	0001-0250_index.tsv	0005
0006	暧昧	2	0001-0250_index.tsv	0006
0007	安居乐业	2	0001-0250_index.tsv	0007
0008	安宁	3	0001-0250_index.tsv	0008
0009	安详	3	0001-0250_index.tsv	0009
0010	安置	3	0001-0250_index.tsv	0010
0011	按摩	3	0001-0250_index.tsv	0011
0012	案件	4	0001-0250_index.tsv	0012
0013	案例	4	0001-0250_index.tsv	0013
0014	暗示	4	0001-0250_index.tsv	0014
0015	昂贵	4	0001-0250_index.tsv	0015
0016	凹凸	5	0001-0250_index.tsv	0016
0017	熬	5	0001-0250_index.tsv	0017
0018	奥秘	5	0001-0250_index.tsv	0018
0019	巴不得	6	0001-0250_index.tsv	0019
0020	巴结	6	0001-0250_index.tsv	0020
0021	扒	6	0001-0250_index.tsv	0021
0022	疤	7	0001-0250_index.tsv	0022
0023	拔苗助长	7	0001-0250_index.tsv	0023
0024	把关	7	0001-0250_index.tsv	0024
0025	把手	8	0001-0250_index.tsv	0025
0026	把戏	8	0001-0250_index.tsv	0026
0027	罢工	8	0001-0250_index.tsv	0027
0028	霸道	8	0001-0250_index.tsv	0028
0029	掰	9	0001-0250_index.tsv	0029
0030	百分点	9	0001-0250_index.tsv	0030
0031	摆脱	9	0001-0250_index.tsv	0031
0032	败坏	10	0001-0250_index.tsv	0032
0033	拜访	10	0001-0250_index.tsv	0033
0034	拜年	10	0001-0250_index.tsv	0034
0035	拜托	10	0001-0250_index.tsv	0035
0036	颁布	11	0001-0250_index.tsv	0036
0037	颁发	11	0001-0250_index.tsv	0037
0038	斑	11	0001-0250_index.tsv	0038
0039	版本	11	0001-0250_index.tsv	0039
0040	半途而废	12	0001-0250_index.tsv	0040
0041	扮演	12	0001-0250_index.tsv	0041
0042	伴侣	12	0001-0250_index.tsv	0042
0043	伴随	12	0001-0250_index.tsv	0043
0044	绑架	13	0001-0250_index.tsv	0044
0045	榜样	13	0001-0250_index.tsv	0045
0046	磅	13	0001-0250_index.tsv	0046
0047	包庇	13	0001-0250_index.tsv	0047
0048	包袱	14	0001-0250_index.tsv	0048
0049	包围	14	0001-0250_index.tsv	0049
0050	包装	14	0001-0250_index.tsv	0050
0051	饱和	15	0001-0250_index.tsv	0051
0052	饱经沧桑	15	0001-0250_index.tsv	0052
0053	保管	15	0001-0250_index.tsv	0053
0054	保密	16	0001-0250_index.tsv	0054
0055	保姆	16	0001-0250_index.tsv	0055
0056	保守	16	0001-0250_index.tsv	0056
0057	保卫	16	0001-0250_index.tsv	0057
0058	保养	17	0001-0250_index.tsv	0058
0059	保障	17	0001-0250_index.tsv	0059
0060	保重	17	0001-0250_index.tsv	0060
0061	报仇	18	0001-0250_index.tsv	0061
0062	报酬	18	0001-0250_index.tsv	0062
0063	报答	18	0001-0250_index.tsv	0063
0064	报到	18	0001-0250_index.tsv	0064
0065	报复	19	0001-0250_index.tsv	0065
0066	报警	19	0001-0250_index.tsv	0066
0067	报社	19	0001-0250_index.tsv	0067
0068	报销	19	0001-0250_index.tsv	0068
0069	抱负	20	0001-0250_index.tsv	0069
0070	抱怨	20	0001-0250_index.tsv	0070
0071	暴力	20	0001-0250_index.tsv	0071
0072	暴露	21	0001-0250_index.tsv	0072
0073	曝光	21	0001-0250_index.tsv	0073
0074	爆发	21	0001-0250_index.tsv	0074
0075	爆炸	22	0001-0250_index.tsv	0075
0076	卑鄙	22	0001-0250_index.tsv	0076
0077	悲哀	22	0001-0250_index.tsv	0077
0078	悲惨	22	0001-0250_index.tsv	0078
0079	北极	23	0001-0250_index.tsv	0079
0080	贝壳	23	0001-0250_index.tsv	0080
0081	备份	23	0001-0250_index.tsv	0081
0082	备忘录	24	0001-0250_index.tsv	0082
0083	背叛	24	0001-0250_index.tsv	0083
0084	背诵	24	0001-0250_index.tsv	0084
0085	被动	24	0001-0250_index.tsv	0085
0086	被告	25	0001-0250_index.tsv	0086
0087	奔波	25	0001-0250_index.tsv	0087
0088	奔驰	25	0001-0250_index.tsv	0088
0089	本能	26	0001-0250_index.tsv	0089
0090	本钱	26	0001-0250_index.tsv	0090
0091	本人	26	0001-0250_index.tsv	0091
0092	本身	27	0001-0250_index.tsv	0092
0093	本事	27	0001-0250_index.tsv	0093
0094	本着	27	0001-0250_index.tsv	0094
0095	笨拙	28	0001-0250_index.tsv	0095
0096	崩溃	28	0001-0250_index.tsv	0096
0097	甭	28	0001-0250_index.tsv	0097
0098	迸发	28	0001-0250_index.tsv	0098
0099	蹦	28	0001-0250_index.tsv	0099
0100	逼迫	29	0001-0250_index.tsv	0100
0101	鼻涕	29	0001-0250_index.tsv	0101
0102	比方	29	0001-0250_index.tsv	0102
0103	比喻	30	0001-0250_index.tsv	0103
0104	比重	30	0001-0250_index.tsv	0104
0105	鄙视	30	0001-0250_index.tsv	0105
0106	必定	31	0001-0250_index.tsv	0106
0107	闭塞	31	0001-0250_index.tsv	0107
0108	弊病	31	0001-0250_index.tsv	0108
0109	弊端	31	0001-0250_index.tsv	0109
0110	臂	32	0001-0250_index.tsv	0110
0111	边疆	32	0001-0250_index.tsv	0111
0112	边界	32	0001-0250_index.tsv	0112
0113	边境	32	0001-0250_index.tsv	0113
0114	边缘	33	0001-0250_index.tsv	0114
0115	编织	33	0001-0250_index.tsv	0115
0116	鞭策	33	0001-0250_index.tsv	0116
0117	贬低	33	0001-0250_index.tsv	0117
0118	贬义	34	0001-0250_index.tsv	0118
0119	扁	34	0001-0250_index.tsv	0119
0120	变故	34	0001-0250_index.tsv	0120
0121	变迁	34	0001-0250_index.tsv	0121
0122	变质	35	0001-0250_index.tsv	0122
0123	便利	35	0001-0250_index.tsv	0123
0124	便条	35	0001-0250_index.tsv	0124
0125	便于	35	0001-0250_index.tsv	0125
0126	遍布	36	0001-0250_index.tsv	0126
0127	辨认	36	0001-0250_index.tsv	0127
0128	辩护	36	0001-0250_index.tsv	0128
0129	辩解	36	0001-0250_index.tsv	0129
0130	辩证	37	0001-0250_index.tsv	0130
0131	辫子	37	0001-0250_index.tsv	0131
0132	标本	37	0001-0250_index.tsv	0132
0133	标记	37	0001-0250_index.tsv	0133
0134	标题	38	0001-0250_index.tsv	0134
0135	飙升	38	0001-0250_index.tsv	0135
0136	表决	38	0001-0250_index.tsv	0136
0137	表态	38	0001-0250_index.tsv	0137
0138	表彰	39	0001-0250_index.tsv	0138
0139	憋	39	0001-0250_index.tsv	0139
0140	别墅	39	0001-0250_index.tsv	0140
0141	别致	39	0001-0250_index.tsv	0141
0142	别扭	40	0001-0250_index.tsv	0142
0143	濒临	40	0001-0250_index.tsv	0143
0144	冰雹	40	0001-0250_index.tsv	0144
0145	丙	40	0001-0250_index.tsv	0145
